income,debt,age,repayment_history,target
141958,13216,30,1,1
35795,35547,63,1,0
20860,31471,44,1,0
123694,17308,66,0,0
148106,27532,58,1,1
139879,34349,34,1,1
130268,45445,57,1,1
96820,5713,48,1,1
74886,49407,51,1,0
26265,4804,41,1,1
102386,10136,62,1,1
148214,9,52,1,1
57194,19255,65,1,1
107498,23793,23,1,1
132727,29548,36,1,1
146324,37892,47,1,1
64131,1015,24,0,0
80263,27712,27,1,1
36023,34961,58,1,0
61090,8415,49,0,0
87221,46318,51,0,0
84820,47280,45,1,0
20769,23833,32,1,0
79735,4158,47,1,1
82955,20309,54,0,0
84925,6970,46,0,0
141637,6938,39,1,1
87969,21168,21,1,1
25311,46540,37,1,0
123355,20384,49,1,1
124724,18017,53,1,1
103104,10344,67,1,1
73707,40034,21,1,0
105305,8702,44,1,1
48693,384,34,1,1
91932,404,29,1,1
147723,40943,39,1,1
113016,47926,34,0,0
126970,29189,27,1,1
45658,12763,18,0,0
104478,18384,39,1,1
142537,32606,43,1,1
38431,9860,35,1,1
22747,38757,67,1,0
143855,15106,31,1,1
79150,23574,64,1,1
85725,23524,46,0,0
149981,3636,29,1,1
104654,10916,53,1,1
55773,4809,52,0,0
139346,32201,69,1,1
87435,13456,29,1,1
76886,48212,24,1,0
86803,38765,46,1,0
51551,34816,28,0,0
136216,45106,50,1,1
31394,17100,23,0,0
89092,21949,64,1,1
23890,4544,32,1,1
61606,37744,49,1,0
116276,45543,68,1,1
145768,42783,28,0,0
100038,26657,40,0,0
107313,36187,43,0,0
30627,47198,51,1,0
28792,7239,63,0,0
128859,14489,51,1,1
128557,49401,46,1,1
93969,43125,21,1,0
63001,49922,34,0,0
96552,28538,52,1,1
43897,32049,30,1,0
88148,37131,58,1,0
141729,42944,56,1,1
144243,8427,32,0,0
140923,41348,46,1,1
140174,24285,46,1,1
43483,37626,28,1,0
144358,42808,69,1,1
68555,22928,49,1,1
145436,19198,19,1,1
37159,19758,64,1,0
130510,15254,31,1,1
126530,44238,37,1,1
100077,1252,39,1,1
55920,39764,28,1,0
112067,12173,44,0,0
87121,37441,20,0,0
89479,26698,34,1,1
109475,15781,61,1,1
39457,13051,45,1,1
86557,39649,46,1,0
97189,6949,38,1,1
129109,42289,64,0,0
98953,8017,33,1,1
72995,6941,54,0,0
60757,25934,37,1,0
29692,23386,23,1,0
65758,10209,36,0,0
149425,17715,22,1,1
92409,28920,20,1,1
91211,31703,18,1,1
85697,42318,55,1,0
57065,4637,32,1,1
112093,4854,51,0,0
119299,43088,52,0,0
149293,37660,66,0,0
52606,39811,42,1,0
147791,49289,41,1,1
31534,19856,29,1,0
114663,21833,35,0,0
60397,19963,32,1,1
146678,36932,61,1,1
111387,27169,33,1,1
21016,7941,44,1,1
109789,14388,25,1,1
75591,5569,63,0,0
109812,4300,42,1,1
43247,39037,34,1,0
44300,36586,46,1,0
94065,12015,25,1,1
102798,45002,32,1,0
29268,6254,44,1,1
106807,17144,63,1,1
32185,24214,67,1,0
83704,40118,69,1,0
106779,15183,24,1,1
59099,6238,20,1,1
28571,6090,46,1,1
143372,11637,61,1,1
125512,22415,41,0,0
58044,24071,20,1,0
71214,45415,37,1,0
81228,42679,63,1,0
134752,41240,32,1,1
68984,18271,42,1,1
60774,36034,47,1,0
22568,33434,31,1,0
140151,4188,24,0,0
82592,49823,34,1,0
87563,10161,61,1,1
22695,28732,37,1,0
144375,11314,53,1,1
68190,23954,26,0,0
25258,21508,55,1,0
107538,21969,65,0,0
59504,45659,39,0,0
53159,37545,19,0,0
33986,36668,41,0,0
81858,23061,25,0,0
149312,13716,28,1,1
32666,39749,30,1,0
58660,39144,34,1,0
23561,16907,25,1,0
46854,18777,38,1,0
84505,27693,35,0,0
124488,42928,47,1,1
72251,26329,35,1,1
42662,46892,63,0,0
28392,16282,64,1,0
50535,23624,48,1,0
98603,23321,55,1,1
